branch_id,status,matched_im2_branch_id,median_residual_mm,p90_residual_mm,min_radius_mm,ref_radius_mm_p80,estimated_diameter_stenosis_pct
0,usable,4,4.583698138676477,9.541051825427582,0.4512968113025029,1.6412933799955578,72.50358669552884
1,single_view_preserved,0,25.85849756524302,28.370357160733914,0.612851904829343,0.908489422665702,32.541657663871895
2,single_view_preserved,0,13.785598440200989,14.460956747396176,0.5121605843305588,0.7034106980429756,27.18896858471326
3,reliable,1,0.5966732528604468,1.3451882805843185,1.1615428527196248,1.490254765086704,22.057430720441584
4,reliable,8,1.5483340371691008,5.11489321741551,0.6288439962599013,0.9784026066462198,35.72748151035081
5,usable,0,4.259451146562361,6.337296639065934,1.3355046643151174,1.5654096364974974,14.686569369585422
6,reliable,2,0.49683732357664234,0.7250223136641302,1.5419069661034477,1.918375960985819,19.62435948628707
7,reliable,1,2.757788493928315,3.62689021543438,1.4972764650980632,1.8299922943115232,18.18126941013344
8,reliable,6,0.8290495648236722,2.0871753342202215,0.41065312756432415,0.6020541873243119,31.791334366533476
9,single_view_preserved,0,15.482856021629992,23.03465486331065,0.41195675515466257,0.7232709634304046,43.04254200931954
10,reliable,7,0.6855130162677789,1.5273442512547966,2.057195133633084,2.2,6.491130289405289
11,single_view_preserved,0,16.87830230938708,27.170791392763064,0.3047315332624647,0.5061141658160421,39.78996166386185
12,reliable,8,2.139387306344021,2.387043247741722,0.9574068122439914,1.3545501523547698,29.319205303722317
13,reliable,6,0.6880970508059063,1.455073962840332,0.29959293703238166,0.5354410264227124,44.047444583399695
14,single_view_preserved,0,15.145472125479722,24.5938765697018,0.314508023030228,0.7262697884109285,56.69542805596133
